"Câți ani avea Michael când a murit în 2009?",50,49,59,A
"Ce culoare au ochii lui Timothy Drake?",negri,verzi,albastri,B
"Ce film Bond a fost lansat în 2006?",Moonraker,"Casino Royale","Live and Let Die",C
"Care este cel mai estic oraș al României?",Iasi,Constanta,Sulina,C
"Ce culoare are parul lui Timothy Drake?",alb,negru,gri,B
" În ce țară s-a născut Adolf Hitler?",Austria,Germania,Olanda,A
"În ce oraș au fost executați soții Ceaușescu?",Iasi,Targiviste,Slatina,B
"In ce an a aparut caracterul Timothy Drake?",1941,1965,1989,C
"Ce naționalitate are Papa Francisc I?",argentiniana,spaniola,italiana,A
"Ce porecla are Tim Drake?","Red Robin","Robin Hood","Robin Robbe",A
"Game of Thrones:  Cine a fost responsabil pentru crearea regelui de noapte?","copiii Padurii","familia Stark",dragonii,A
"Ce culoare au ochii lui Wolverine?",verzi,albastri,negri,B
"Care actor a fost James Bond înaintea lui Daniel Craig, realizând patru filme ca 007?","George Lazenby","Richard Kiel","Pierce Brosnan",C
"Cum se numea autobiografia lui Michael, lansată în 1988?","King of Pop",Moonwalk,"The Legend",B
"Ce culoare are parul lui Wolverine?",negru,gri,saten,A
"Ce țară din America de Sud are cea mai mare suprafață?",Canada,Mexic,Brazilia,C
"Care este capitala Islandiei?",Oslo,Copenhaga,Reykjavik,C
"In ce an a aparut caracterul Wolverine?",1939,1974,1993,B
"Câte state are Statele Unite ale Americii?",50,48,51,A
"Cum il cheama pe Wolverine in viata reala?","Arthur Curry","James Howlett","Bruce Wayne",B
